state,abbr,modern_signal,estimated_septic_count_medium,count_rank,density_rank,modeled_density_per_sqkm,predicted_septic_block_group_pct,parcel_gap_pct,confidence_note,urban_suburban_caution,best_next_step
Alabama,AL,High total exposure signal,1161532,10,20,8.68,52.8,0.1,"Good planning signal, but property records are still needed for an address-level answer.","Alabama has enough modeled septic exposure that city edges, fast-growing suburbs, and older subdivisions should still be checked before digging.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Arizona,AZ,"Lower statewide signal, still property-specific",380733,32,41,1.29,16.6,3.0,Moderate confidence: some parcel-data gaps may affect local estimates.,"In Arizona, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Arkansas,AR,Strong rural or county-level signal,713167,23,28,5.18,56.8,0.0,"Good planning signal, but property records are still needed for an address-level answer.","Arkansas has a strong rural or historical septic signal, but the same records-first logic also applies near town edges and partially sewered communities.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
California,CA,"Lower statewide signal, still property-specific",1110288,11,35,2.71,9.4,0.1,"Good planning signal, but property records are still needed for an address-level answer.","In California, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Colorado,CO,"Lower statewide signal, still property-specific",474556,28,38,1.76,21.2,1.1,"Good planning signal, but property records are still needed for an address-level answer.","In Colorado, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Connecticut,CT,Urban/suburban hidden-septic signal,281524,37,1,21.78,23.2,0.0,"Good planning signal, but property records are still needed for an address-level answer.","Connecticut has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
Delaware,DE,Urban/suburban hidden-septic signal,95428,47,4,18.33,23.2,0.1,"Good planning signal, but property records are still needed for an address-level answer.","Delaware has developed-looking areas where septic can still be overlooked, especially older suburbs, coastal or lake communities, large-lot neighborhoods, and sewer-edge streets.","Confirm the home has a municipal sewer account or connection record, then check local records before digging. Call 811, but do not assume 811 marks private septic components."
District of Columbia,DC,"Lower statewide signal, still property-specific",0,49,49,0.0,0.0,0.0,"Good planning signal, but property records are still needed for an address-level answer.","In District of Columbia, a lower statewide signal does not rule out septic on a specific property, especially outside confirmed municipal sewer service.","Do not rely on the state average. Verify the property through sewer billing, local records, disclosures, 811, and septic-specific locating when the work area is uncertain."
Florida,FL,High total exposure signal,1173660,9,22,7.78,14.5,0.3,"Good planning signal, but property records are still needed for an address-level answer.","Florida has enough modeled septic exposure that city edges, fast-growing suburbs, and older subdivisions should still be checked before digging.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
Georgia,GA,High total exposure signal,1370984,6,18,8.99,34.6,0.3,"Good planning signal, but property records are still needed for an address-level answer.","Georgia has enough modeled septic exposure that city edges, fast-growing suburbs, and older subdivisions should still be checked before digging.","Treat septic location as a real planning issue before posts, trenches, grading, pools, sheds, additions, or landscaping. Check records, call 811, and locate private septic components when layout is unclear."
